#LED	Voltage	Photocurrent
1	1.95	0
1	1.843	0
1	1.749	0
1	1.645	0
1	1.555	0
1	1.458	0.5
1	1.354	1
1	1.244	2
1	1.154	3
1	1.047	5
1	0.948	9
1	0.843	15
1	0.753	24
1	0.698	30
3	1.655	0
3	1.543	0
3	1.458	0
3	1.355	0
3	1.257	0
3	1.154	1
3	1.057	1.5
3	0.957	3
3	0.844	7
3	0.747	12
3	0.65	21.5
3	0.592	30
5	1.584	0
5	1.48	0
5	1.381	0
5	1.281	0
5	1.183	0
5	1.076	1
5	0.981	2
5	0.888	4
5	0.786	8
5	0.68	17
5	0.591	30
7	1.231	0
7	1.114	0
7	1.037	0
7	0.943	0
7	0.834	0.5
7	0.742	1
7	0.636	4
7	0.536	9
7	0.433	20
7	0.375	30
